video_name,video_url,summary,content_theme,content_style,creator_presence,on_screen_text,key_video_elements,brand_safety,brand_type,brand_names,transcript
High Fashion.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/High%20Fashion.mp4,"A woman models a unique blue garment with a scale-like pattern, featuring structured shoulder pieces resembling wings and a laced corset. She walks the runway, posing for the audience in a dimly lit environment with blue lighting.",Fashion,Demonstration,Full body,,"Creator, Clothing/Fashion Items",Family-friendly,No brands featured,,
Instrument Tutorials.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Instrument%20Tutorials.mp4,"The video shows a person playing a piano, with on-screen text indicating it is a tutorial on how to play ""Champagne Coast"" by Blood Orange. The tutorial shows key presses and demonstrates playing the song. Towards the end, text prompts suggest practicing and picking up the tempo, followed by a demonstration of the song played at a faster pace.","['Music', 'DIY/Crafts']","['Tutorials', 'Demonstration', 'How-To Guides']",['Hands-only'],"Titles/Headlines, Tutorial Steps","Creator, Music/Sound, Technology, Musical Instruments",Family-friendly,No brands featured,,"How to play champagne coast by blood orange.
Practice and slowly pick in the tempo.
Should sound like this."
Jelly Bed.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Jelly%20Bed.mp4,"A man lies on his back in a bed filled with a bright blue, translucent liquid. The liquid has rippling, wave-like textures within it. The man is shirtless and wearing dark shorts. He looks up and appears to be enjoying the experience.",Lifestyle,Vlogs,Full body,,"Creator, Food",Family-friendly,No brands featured,None,"Wow
No way
This is exactly what I needed"
Language Learning.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Language%20Learning.mp4,"A young woman films herself as she attempts to learn and recite numbers 1-10 in French, Russian, German, and Italian. She uses online resources and her own hand gestures to aid her learning process. The video ends with her encouraging viewers to subscribe and thanking them for watching.","Education, Language Learning","Tutorials, Vlogs, Storytelling",Face only,"www.LearnFrench.com, French Numbers, 1 - 10, this is russian btw, do you guys like my hand motions i was very concentrated","Creator, Text/Graphics, Music/Sound, Technology",Family-friendly,No brands featured,,"Hi guys. I'm very bored and have nothing better to do with my life right now. So, what's more fun than to watch me learn one through ten in five different languages.

My five languages: French, Russian, Japanese, German and Italian.
Let's start with French.
Un, deux, trois, quatre, cinq, six, sept, huit, neuf, dix.
My mommy taught me these. So.

This is Russian btw.
Agun, dva, tri, chetyre, pyat', shest', sem', vosem', devyat', devyat'.
My pronunciation might be off but.
Let's do Japanese.
Ichi, ni, san, shi, go, roku, nana, hachi, kyu, ju.

Let's do German now.
Einz, drei, drei, vier, funf, sechs, sieben, acht, neun, zehn.
That concludes my video. Thanks you guys so much for watching. If you guys did not like my hand motions, I was very concentrated.
Last but not least is Italian. I love Italy so much.
Uno, due, tre, quattro, cinque, sei, sette, otto, nove, dieci.

Bye bye."
Luxury Travel.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Luxury%20Travel.mp4,"A flight attendant in a beige uniform with a red hat opens a door to reveal a first-class airplane cabin. The cabin features a plush white seat, windows, a tray table with a laptop, and a vanity area with a mirror and screen. The video pans across the interior, showing magazines, headphones, and a shelf with various items.","Travel, Luxury Travel","Vlogs, Day-in-the-Life, Shorts/Reels/TikToks, Demonstration","Partial visibility, Face only","Welcome, 1K","Creator, Technology, Food, Clothing/Fashion Items, Home Decor, Text/Graphics, Music/Sound, Props",Family-friendly,"Luxury brands, Travel/hospitality brands",Emirates,You look lonely. I can fix that.
Music Production.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Music%20Production.mp4,"The video demonstrates how to make a beat using a keyboard and digital audio workstation software. The creator explains the process in three simple steps: starting with the drums, adding a bassline, and then a melody. They suggest using a basic drum kit with a kick, snare, and hi-hat, and offer advice on creating a simple yet groovy bassline using a synth bass preset. For the melody, they recommend using a piano or synth and sticking to three or four notes. The video concludes with the creator encouraging viewers to make their own beat, post it, and tag them.","['Music', 'DIY/Crafts']","['Tutorial', 'Demonstration', 'How-To Guides']","['Creator-centric', 'Partial visibility']","TikTok, itsblank66, making your first beat, can be intimidating, but it's, easier than, you think, today, i'm breaking it down into, three simple steps, anyone can follow, start from the drums, pick a basic drum kit, go for a kick, and a hi-hat, lay down a basic, kick and snare pattern, start with the kick, on beat 1, and the snare on beat 3, if you want to add a bounce, add some extra kicks, and add the hi-hats, on every beat, nothing fancy, but it does have a groove, the bassline is what, makes your beat, feel powerful, start with a synth bass, i like the wonk bass, preset on Ableton, keep your bassline, simple, it's your first beat, i'll use the notes A, F, C and G, now add a melody, pick an instrument, like piano or a synth, i'll just pick piano, and here's a trick, try to stick to only, 3 or 4 notes, go make your first beat, post it and tag me, i want to hear, what you create","Creator, Technology, Music/Sound, Text/Graphics",Family-friendly,None,,making your first beat can be intimidating but it's easier than you think today I'm breaking it down into three simple steps anyone can follow step one start from the drums pick a basic drum kit go for a kick and a hi-hat lay down a basic kick and snare pattern start with the kick on beat 1 and the snare on beat 3 if you want to add a bounce add some extra kicks and add the hi-hats on every beat nothing fancy but it does have a groove the bassline is what makes your beat feel powerful start with a synth bass I like the wonk bass preset on Ableton keep your bassline simple it's your first beat I'll use the notes A F C and G now add a melody pick an instrument like piano or a synth I'll just pick piano and here's a trick try to stick to only 3 or 4 notes go make your first beat post it and tag me I want to hear what you create
Restaurant Visit 2.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Restaurant%20Visit%202.mp4,"The video shows a dimly lit restaurant with outdoor seating, overlooking a river and a bridge. People are seen dining at tables. The on-screen text reads ""the vibe at this restaurant in brooklyn"" and the username ""@lavieboheme"" is displayed.","['Restaurant Tours', 'Travel']","['Vlogs', 'Montages', 'Shorts/Reels/TikToks']",['Partial visibility'],"Titles/Headlines, Usernames/Handles","Food, Urban Environment, Creator",Family-friendly,No brands featured,,the vibe at this restaurant in brooklyn something gonna let me to you
Restaurant Visit.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Restaurant%20Visit.mp4,"This video showcases a variety of steak dishes and drinks at a Muslim-owned HALAL steakhouse. It features a premium meat platter, Angus short ribs with mash, truffle mushroom pasta with ribeye steak, oyster blade steak with fried rice, and a Banjir cheese burger. The video also shows drinks like a pink beverage and a lychee-based cocktail.","Recipes, Food Reviews, Restaurant Tours","Montages, Shorts/Reels/TikToks, Demonstration",Partial visibility,"This Muslim-owned HALAL steakhouse is a MUST try, heyyitskey, - Chiko Pollo Original, - Banjir Cheese Burger, - Premium Meat Platter, - Angus Short Ribs with Mash, - Truffle Mushroom Pasta with Ribeye Steak, - Oyster Blade Steak with Fried Rice","Creator, Food, Text/Graphics, Music/Sound",Family-friendly,No brands featured,,"Don't nobody else make me feel like
No broken, no new brand
Don't nobody else make me feel like
No broken, no new brand
Don't nobody else make me feel like
No broken, no new brand
Don't nobody else make me feel like
No broken, no new brand"
Streetwear.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Streetwear.mp4,"Four individuals are shown. The first two are in the foreground, with the front person wearing a white t-shirt, black pants, and a white and brown baseball cap. The second person is behind them, wearing a white t-shirt and black pants. Two other individuals are in the background, wearing different outfits. The text ""POV: the whole group can dress"" is displayed on screen.",Fashion,"Transitions, Montages",Full body,POV: the whole group can dress,"Creator, Clothing/Fashion Items",Family-friendly,No brands featured,,"POV the whole group can dress
I hit church on Thursdays but that's alright
I don't care what no one thinks
I'll let my peers my influence what for life
All of my years let us"
Yoga:Pilates.mp4,https://linqia-video-analyser-bucket.s3.us-east-2.amazonaws.com/Videos%20for%20Analysis/Yoga:Pilates.mp4,"Two women perform synchronized movements on yoga mats. The video displays the text 'Sun Salutation', 'Pilates vs Yoga', and a logo that reads 'SOULIFT'. The movements resemble a flow sequence with poses such as upward salute, forward fold, plank, Chaturanga, upward-facing dog, and downward-facing dog.","['Fitness', 'Yoga', 'DIY/Crafts']","['Demonstration', 'Tutorials']","['Full body', 'Creator-centric']","Titles/Headlines, Brand Logos, Product Names","Creator, Text/Graphics, Props, Home Decor, Clothing/Fashion Items",Family-friendly,['No brands featured'],SOULIFT,
